73b732ae-3ef7-4569-9fff-8142ad0da7ee, Client13, CNP13, C1, W1, 11:00, REZERVARE, 1769263658258
c406302b-9965-4aca-8837-17a8c6c7d456, Client0, CNP0, C1, W1, 10:00, REZERVARE, 1769263658260
fae32d44-a623-4145-b52c-6ccb130d2035, Client3, CNP3, C2, W1, 10:00, REZERVARE, 1769263658262
d033dd89-d8b0-4910-aaee-0fa5a90db715, Client7, CNP7, C3, W4, 16:00, REZERVARE, 1769263658262
6599386d-4dde-4dfc-afae-b5451790e089, Client14, CNP14, C2, W3, 9:00, REZERVARE, 1769263658263
91462e02-4108-4401-94f9-ecd9332ca650, Client19, CNP19, C2, W4, 12:00, REZERVARE, 1769263658265
69d7a4fc-f404-4958-bf71-afd46cc911ea, Client9, CNP9, C3, W4, 9:00, REZERVARE, 1769263658266
3d72deda-dc4d-4e4b-a221-d655f77bed99, Client5, CNP5, C2, W4, 10:00, REZERVARE, 1769263658278
c2161b3c-eff6-4091-ba2b-a8ef09d88d61, Client18, CNP18, C2, W4, 16:00, REZERVARE, 1769263658279
451b52a9-2961-443e-bc31-f8baeea4aca4, Client8, CNP8, C3, W1, 9:00, REZERVARE, 1769263658280
4afb8f23-c468-4237-b8ec-3d5fb7dc6b2d, Client17, CNP17, C3, W4, 15:00, REZERVARE, 1769263658281
ff495dbb-06f2-4ec9-aeb3-dca54535dc42, Client11, CNP11, C3, W4, 9:00, REZERVARE, 1769263658282
f740b2aa-9131-46e1-9a21-5d47fe9da05e, Client2, CNP2, C1, W4, 15:00, REZERVARE, 1769263658284
1c95517e-e994-44ad-a093-247f0f2a8c08, Client6, CNP6, C1, W4, 16:00, REZERVARE, 1769263658285
95ecb230-24b9-450e-af4f-d5f785da9df5, Client1, CNP1, C2, W4, 14:00, REZERVARE, 1769263658286
2871a495-2d1d-4005-8805-c98a39b88974, Client4, CNP4, C2, W1, 17:00, REZERVARE, 1769263658287
dede12b9-c822-4bee-b800-2abb6e5ee89c, Client12, CNP12, C3, W1, 17:00, REZERVARE, 1769263658287
3712453f-f7b9-4dcd-884c-72373a0746fa, Client15, CNP15, C3, W1, 11:00, REZERVARE, 1769263658288
d682bdb7-4b62-445b-8c15-476923136ecd, Client10, CNP10, C3, W3, 17:00, REZERVARE, 1769263658288
ff3c469e-e57a-4fa9-82cf-2866c32be46c, Client16, CNP16, C2, W4, 10:00, REZERVARE, 1769263658289
73b732ae-3ef7-4569-9fff-8142ad0da7ee, Client13, CNP13, C1, W1, 11:00, PLATITA, 1769263658258
c406302b-9965-4aca-8837-17a8c6c7d456, Client0, CNP0, C1, W1, 10:00, PLATITA, 1769263658260
fae32d44-a623-4145-b52c-6ccb130d2035, Client3, CNP3, C2, W1, 10:00, PLATITA, 1769263658262
6599386d-4dde-4dfc-afae-b5451790e089, Client14, CNP14, C2, W3, 9:00, PLATITA, 1769263658263
d033dd89-d8b0-4910-aaee-0fa5a90db715, Client7, CNP7, C3, W4, 16:00, PLATITA, 1769263658262
95ecb230-24b9-450e-af4f-d5f785da9df5, Client1, CNP1, C2, W4, 14:00, PLATITA, 1769263658286
ff495dbb-06f2-4ec9-aeb3-dca54535dc42, Client11, CNP11, C3, W4, 9:00, PLATITA, 1769263658282
3d72deda-dc4d-4e4b-a221-d655f77bed99, Client5, CNP5, C2, W4, 10:00, PLATITA, 1769263658278
69d7a4fc-f404-4958-bf71-afd46cc911ea, Client9, CNP9, C3, W4, 9:00, PLATITA, 1769263658266
2871a495-2d1d-4005-8805-c98a39b88974, Client4, CNP4, C2, W1, 17:00, PLATITA, 1769263658287
7c499950-d613-4682-bd15-801955cf7793, Client15, CNP15, C2, W3, 17:00, REZERVARE, 1769263660308
4afb8f23-c468-4237-b8ec-3d5fb7dc6b2d, Client17, CNP17, C3, W4, 15:00, PLATITA, 1769263658281
ff3c469e-e57a-4fa9-82cf-2866c32be46c, Client16, CNP16, C2, W4, 10:00, PLATITA, 1769263658289
451b52a9-2961-443e-bc31-f8baeea4aca4, Client8, CNP8, C3, W1, 9:00, PLATITA, 1769263658280
d3063e33-4a11-46b4-a354-667968af8546, Client18, CNP18, C3, W1, 14:00, REZERVARE, 1769263660308
d682bdb7-4b62-445b-8c15-476923136ecd, Client10, CNP10, C3, W3, 17:00, PLATITA, 1769263658288
115e5d3b-8310-4a6a-b298-9cc9b539c96d, Client13, CNP13, C1, W1, 13:00, REZERVARE, 1769263662282
fa6e4b10-3b0c-4e33-ad04-aa44bf90176a, Client14, CNP14, C2, W4, 15:00, REZERVARE, 1769263662292
18e26dee-c0ee-4e35-9978-d676f90a4b79, Client7, CNP7, C3, W4, 10:00, REZERVARE, 1769263662293
5f3e1ad7-e37b-41e1-b426-0a33b50a1bd3, Client11, CNP11, C2, W4, 12:00, REZERVARE, 1769263662313
945045cf-1253-4b9f-b97d-3fc11186d80f, Client4, CNP4, C1, W1, 10:00, REZERVARE, 1769263662315
5ff29e89-8271-4dc7-a248-a584cc897cc6, Client5, CNP5, C2, W3, 16:00, REZERVARE, 1769263662317
7c499950-d613-4682-bd15-801955cf7793, Client15, CNP15, C2, W3, 17:00, PLATITA, 1769263660308
2bd43fe9-e08f-4307-97a8-56d3044a71ce, Client17, CNP17, C2, W1, 9:00, REZERVARE, 1769263662320
35edc3d3-eea9-4e38-a80d-81e0784302fd, Client16, CNP16, C1, W4, 12:00, REZERVARE, 1769263662321
5a331218-a13a-4ff1-82f7-c95e5887b2c3, Client18, CNP18, C3, W4, 13:00, REZERVARE, 1769263662322
106b3b78-3d13-49cd-ba21-9e5828f08fe3, Client10, CNP10, C2, W1, 15:00, REZERVARE, 1769263662323
c406302b-9965-4aca-8837-17a8c6c7d456, Client0, CNP0, C1, W1, 10:00, ANULATA, 1769263658260
fae32d44-a623-4145-b52c-6ccb130d2035, Client3, CNP3, C2, W1, 10:00, ANULATA, 1769263658262
