1ce80a77-580f-429f-b7b0-a189435a920f, Client15, CNP15, C3, W4, 10:00, REZERVARE, 1769262716775
835da460-9374-49c8-a757-60e4ad011fa2, Client19, CNP19, C3, W3, 14:00, REZERVARE, 1769262716775
1c342a87-5816-4dfd-916c-6d4234afb98a, Client4, CNP4, C1, W4, 11:00, REZERVARE, 1769262716775
24cf4fd9-5424-42a5-a95c-47109e2f32f6, Client8, CNP8, C1, W2, 12:00, REZERVARE, 1769262716779
095334ba-61cf-49f7-8392-7b5b427e2726, Client5, CNP5, C3, W1, 16:00, REZERVARE, 1769262716780
293251e7-d3a5-4def-8da7-fd65e52bc94f, Client6, CNP6, C2, W1, 9:00, REZERVARE, 1769262716782
7c345ca5-fd3a-42e6-9e84-a3f72eb25883, Client2, CNP2, C1, W3, 9:00, REZERVARE, 1769262716783
dee7ff50-5025-4474-b676-238ce4277240, Client7, CNP7, C2, W1, 17:00, REZERVARE, 1769262716785
41247668-d554-4a57-91dd-1e713916e33c, Client17, CNP17, C1, W3, 17:00, REZERVARE, 1769262716786
0d7564aa-e415-4dc4-a6a8-0128f6a082fe, Client1, CNP1, C1, W2, 11:00, REZERVARE, 1769262716788
d2bd0f23-5068-4023-85b3-8188c4914a17, Client18, CNP18, C2, W4, 10:00, REZERVARE, 1769262716789
1799e895-117d-4326-9d89-be0099b5ffc4, Client3, CNP3, C3, W1, 9:00, REZERVARE, 1769262716790
365a2ef9-f9fc-4b55-acda-cfdd79cc3695, Client16, CNP16, C1, W2, 11:00, REZERVARE, 1769262716791
56792761-2228-4214-acfb-a217aa4d177c, Client9, CNP9, C3, W3, 10:00, REZERVARE, 1769262716793
03d026fc-ac4f-405f-b310-7ee62f3dc887, Client14, CNP14, C2, W2, 15:00, REZERVARE, 1769262716794
ec55bf35-7018-4cf9-87e7-8861b81e08b9, Client0, CNP0, C3, W4, 13:00, REZERVARE, 1769262716795
994b52c6-b00e-4f1c-81d5-e557dc69a254, Client10, CNP10, C1, W3, 13:00, REZERVARE, 1769262716796
ab7c63f2-377f-46a2-886b-29da10b620eb, Client13, CNP13, C2, W2, 11:00, REZERVARE, 1769262716797
f07c5b14-394a-4521-9dc2-1f65117cd804, Client12, CNP12, C3, W2, 10:00, REZERVARE, 1769262716797
f035d294-b816-43a0-bde5-8895c6721de2, Client11, CNP11, C3, W2, 12:00, REZERVARE, 1769262716798
835da460-9374-49c8-a757-60e4ad011fa2, Client19, CNP19, C3, W3, 14:00, PLATITA, 1769262716775
7c345ca5-fd3a-42e6-9e84-a3f72eb25883, Client2, CNP2, C1, W3, 9:00, PLATITA, 1769262716783
1c342a87-5816-4dfd-916c-6d4234afb98a, Client4, CNP4, C1, W4, 11:00, PLATITA, 1769262716775
293251e7-d3a5-4def-8da7-fd65e52bc94f, Client6, CNP6, C2, W1, 9:00, PLATITA, 1769262716782
8a6d34e7-26fc-4a06-91bd-9641509ec381, Client5, CNP5, C1, W3, 11:00, REZERVARE, 1769262718803
dee7ff50-5025-4474-b676-238ce4277240, Client7, CNP7, C2, W1, 17:00, PLATITA, 1769262716785
9e44914e-8f0c-4114-b190-af2d847d829d, Client8, CNP8, C2, W4, 10:00, REZERVARE, 1769262718803
41247668-d554-4a57-91dd-1e713916e33c, Client17, CNP17, C1, W3, 17:00, PLATITA, 1769262716786
d2bd0f23-5068-4023-85b3-8188c4914a17, Client18, CNP18, C2, W4, 10:00, PLATITA, 1769262716789
c39970e9-237f-4318-969b-0826e0720ba7, Client3, CNP3, C3, W2, 12:00, REZERVARE, 1769262718823
03d026fc-ac4f-405f-b310-7ee62f3dc887, Client14, CNP14, C2, W2, 15:00, PLATITA, 1769262716794
56792761-2228-4214-acfb-a217aa4d177c, Client9, CNP9, C3, W3, 10:00, PLATITA, 1769262716793
365a2ef9-f9fc-4b55-acda-cfdd79cc3695, Client16, CNP16, C1, W2, 11:00, PLATITA, 1769262716791
ab7c63f2-377f-46a2-886b-29da10b620eb, Client13, CNP13, C2, W2, 11:00, PLATITA, 1769262716797
ce48dd0b-ab38-449c-8a54-87f4020c71cb, Client10, CNP10, C2, W3, 15:00, REZERVARE, 1769262718831
f07c5b14-394a-4521-9dc2-1f65117cd804, Client12, CNP12, C3, W2, 10:00, PLATITA, 1769262716797
124d3f21-6865-4240-806f-4a4582d6ce16, Client19, CNP19, C2, W1, 13:00, REZERVARE, 1769262720797
9e44914e-8f0c-4114-b190-af2d847d829d, Client8, CNP8, C2, W4, 10:00, PLATITA, 1769262718803
8a6d34e7-26fc-4a06-91bd-9641509ec381, Client5, CNP5, C1, W3, 11:00, PLATITA, 1769262718803
d8ead9ca-4e1e-4f70-9c6c-39432112685e, Client6, CNP6, C1, W1, 14:00, REZERVARE, 1769262720817
